,Date,User,Tweet
116,2022-10-23 15:46:49+00:00,Safaricom_Care,"@lindaowuor2016 Hello Lyn, what is the exact issue with your line? ^GB"
117,2022-10-23 15:46:34+00:00,real_parody_,Evening @Safaricom_Care ...mnaeza nizawadi na bundles leo 💯😂💔
118,2022-10-23 15:44:18+00:00,MsMukabi,This is ridiculous @SafaricomPLC @Safaricom_Care I have enough credit yet when I try to make a call I get the I don't have enough credit . wtf https://t.co/Je0X8Nj20F
119,2022-10-23 15:42:43+00:00,zerochills_jose,@thuruari_ @Safaricom_Care mbona mi hamnipei hiyo 10bob 100Mins till midnight🤕🤕
120,2022-10-23 15:41:11+00:00,tim10034,@Safaricom_Care @Safaricom_Care How do I reverse money sent to wrong Till
121,2022-10-23 15:41:10+00:00,Safaricom_Care,"@heroicvillain98 Hi heroicvillain98, please DM https://t.co/jF6LqBCZ2c your phone number, full names, town name, estate name (apartment/court/phase) and nearest landmark. ^AA"
122,2022-10-23 15:36:28+00:00,wangaidrayco,@Safaricom_Care We'll keep going back and forth still.. just stop those messages!!
123,2022-10-23 15:32:59+00:00,with_kawira,@alilo_me @Cutie_254 @Safaricom_Care @iconic_gravity @itsMJ_Ke Huyu mubabaz wako ako na brother mkubwa 😂😂nishoot my shot
124,2022-10-23 15:28:25+00:00,dentonixx,Hello @Safaricom_Care kindly check DM
125,2022-10-23 15:27:32+00:00,Safaricom_Care,@wangaidrayco Sorry about that. Kindly see DM. ^AO
126,2022-10-23 15:26:13+00:00,CaptainWahome,@Safaricom_Care @SafaricomPLC I woke up 1300 kes poorer because I missed your call. Another scammer has won. Somebody remind @SafaricomPLC they are not an escrow service! https://t.co/8kiRpy6lEK
127,2022-10-23 15:25:56+00:00,Safaricom_Care,@njmwaurak Hi Ken. That should be under Short-Term Paybill. Check procedure here  https://t.co/zw3Kml1Ju9 . ^JB
128,2022-10-23 15:25:16+00:00,KiprutoKE,@Safaricom_Care @SafaricomPLC Kindly assist my number cant receive incoming calls it gives a notification of my number being busy on incoming calls check DM for my details
129,2022-10-23 15:25:07+00:00,lindaowuor2016,@Safaricom_Care I really need help with my safaricom line.
130,2022-10-23 15:24:51+00:00,WhitneyNyambur5,@Safaricom_Care please check DM
131,2022-10-23 15:23:57+00:00,KiprutoKE,@Safaricom_Care Kindly assist my number cant receive incoming calls it gives a notification of my number being busy on incoming calls check DM for my details
132,2022-10-23 15:15:16+00:00,Safaricom_Care,@lordphyll Following. ^AO
133,2022-10-23 15:07:24+00:00,heroicvillain98,@Safaricom_Care I have used your WiFi for years and I never faced such nonsense I'm facing with @ZukuAmazing . But unfortunately I shifted this month and this is the second day in a month there's no WiFi for 24 hours + . Safaricom please try and get your services here because https://t.co/KVnInFGMiB
134,2022-10-23 15:03:39+00:00,IreneGatuhu,@Safaricom_Care kindly check dm
135,2022-10-23 14:59:47+00:00,FingazItchy,@Cutie_254 @Safaricom_Care @iconic_gravity @itsMJ_Ke https://t.co/280yYfyAir
136,2022-10-23 14:59:42+00:00,njmwaurak,@Safaricom_Care Trying to set up a paybill for fund raiser. What's the procedure?
137,2022-10-23 14:54:30+00:00,wangaidrayco,"Me: I have stopped those messages that I didn't subscribe to but I'm still receiving them..
@Safaricom_Care: Okkkk.. buuuut... Have you tried stopping them?
Me: I just told you I've stopped.. 🤦🏿‍♂️
@Safaricom_Care: Our apologies.. have you tried... Opting out? https://t.co/NGyiZFTJuo"
138,2022-10-23 14:52:33+00:00,cris_gich,"@Safaricom_Care @SafaricomPLC 
am trying to replace my simcard and its not going through please assist"
139,2022-10-23 14:44:50+00:00,EnockK20,Hello @Safaricom_Care @SafaricomPLC  urgently address this https://t.co/f2DJfvP9JV
140,2022-10-23 14:44:00+00:00,FRANK_GITAU2,@Safaricom_Care
141,2022-10-23 14:43:05+00:00,MachariaKevin17,@Safaricom_Care Haae
142,2022-10-23 14:42:47+00:00,Safaricom_Care,"@Wainaina_shakes Hello Wainaina, sorry to hear that. Please DM https://t.co/jF6LqBCZ2c your number, name and ID for us to check. ^SD"
143,2022-10-23 14:41:38+00:00,AmonMeli11,@Safaricom_Care
144,2022-10-23 14:38:49+00:00,Safaricom_Care,"@NelsonK52127522 @NelsonK52127522 : Hi Nelson, not genuine. To qualify for Fuliza limit, you must have a good CRB record or not a defaulter of any other loan. Continue using Safaricom and M-PESA services to grow your limit. Kindly DM https://t.co/jF6LqBCZ2c the number for investigation. ^LN"
145,2022-10-23 14:34:28+00:00,Safaricom_Care,"@toxic17743552 Hello, to self-update your sim registration and submit your Original ID details click on https://t.co/f60Dcl0ZfM  and follow the simple steps. Alternatively, Dial *106# and select option 2. Thank you. ^KN"
146,2022-10-23 14:30:12+00:00,Wainaina_shakes,@Safaricom_Care what's wrong with my airtime? Making fews calls am sufficient 😐
147,2022-10-23 14:28:40+00:00,SammySnr3,@SKELEH_THE_GOON @Cutie_254 @KiprutB @Safaricom_Care @iconic_gravity @itsMJ_Ke 😂iyo urembo ya kulazimisha tunaijua
148,2022-10-23 14:26:11+00:00,Safaricom_Care,@notberzerk Hello CJ. Kindly contact Equity on 0711025000(chargeable) for assistance. ^HS
149,2022-10-23 14:25:07+00:00,NelsonK52127522,@Safaricom_Care I'm encountering a person in my WhatsApp convincing me that he's increasing fuliza limit for kenyans.Look at the screenshots below https://t.co/tWbeZdRqal
150,2022-10-23 14:24:28+00:00,toxic17743552,@Safaricom_Care Hello send mie self simcard update Link
151,2022-10-23 14:21:23+00:00,Safaricom_Care,"@george_kabue @george_kabue : Hi George, sorry about that. Kindly DM https://t.co/jF6LqBV8gk  the M-Pesa transaction code we check and advise. ^IW"
152,2022-10-23 14:15:26+00:00,george_kabue,"@Safaricom_Care Hi I've sent money to an Airtel number but they haven't received the 4 digit code,how are they supposed to withdraw"
153,2022-10-23 14:10:45+00:00,OrrotoB,@Safaricom_Care Excellent
154,2022-10-23 14:06:29+00:00,AdaraPro,@Safaricom_Care Award Ksh 1000 airtime to first 500 tweets that correctly name the substance in pic below...Kwa bill yenu lakini! https://t.co/pmpmRL2yE9
155,2022-10-23 14:03:52+00:00,ceekay_254,@Safaricom_Care Check inbox
156,2022-10-23 14:00:08+00:00,Safaricom_Care,"@Chriskirubi_ Utaweza kujua aliyejaribu kukupigia ikiwa utakua ume-activate huduma ya missed call alert (I tired calling you). Ku-activate, bonyeza **62*0722199199#OK. Kuiondoa, bonyeza ##62#OK. ^MM"
157,2022-10-23 13:58:41+00:00,Safaricom_Care,"@Mwauras4 Hello Mwaura, you do not have any charging services. Please note, that sharing your phone number or any other personal details here is exposing yourself to fraudsters. Delete now and DM https://t.co/jF6LqBV8gk so we can check to assist. ^GB"
158,2022-10-23 13:56:31+00:00,Chriskirubi_,@Safaricom_Care So you mean saii nikienda off mtu anipigie hamwezi jua call imeingia Apo na laini ni yenu surely?
159,2022-10-23 13:55:05+00:00,Safaricom_Care,@MasaiGers We are following up on the issue for resolution as soon as possible. Please bear with us. ^AO
160,2022-10-23 13:53:27+00:00,Safaricom_Care,"@gathigiamuriuk7 Hallo Anthony, please dial *456*9*5# to deactivate the promotional messages. ^MA"
161,2022-10-23 13:50:00+00:00,MasaiGers,@Safaricom_Care I have reebooted still nothing
162,2022-10-23 13:48:32+00:00,MasaiGers,@Safaricom_Care What link?
163,2022-10-23 13:47:36+00:00,Safaricom_Care,@MasaiGers @MasaiGers : Sorry about that Rodgers. We see the link was reset. Kindly reboot your router and test. ^IW
164,2022-10-23 13:44:57+00:00,Safaricom_Care,@Njorogeruthie You're welcome. ^AA
165,2022-10-23 13:42:13+00:00,Safaricom_Care,@RealDdominiQuE Dealing.^NR
166,2022-10-23 13:39:15+00:00,RealDdominiQuE,@Safaricom_Care @MasaiGers Kindly check DM and revert.
167,2022-10-23 13:37:44+00:00,MasaiGers,@Safaricom_Care Kindly reactivate my account
168,2022-10-23 13:30:41+00:00,Njorogeruthie,@Safaricom_Care Thank you.very efficient
169,2022-10-23 13:28:04+00:00,Safaricom_Care,"@MasaiGers So sorry about that, please DM the M-Pesa SMS we check and advise. ^IG"
170,2022-10-23 13:25:29+00:00,Safaricom_Care,"@Njorogeruthie Hi Ruthie, we shall respond shortly. ^NG"
171,2022-10-23 13:24:07+00:00,MasaiGers,@Safaricom_Care it has been 8 hours since i paid for safaricom home internet and nothing yet...told me to wait 2 hours...will you kindly advise on the issue..My account number is 11073030
172,2022-10-23 13:23:32+00:00,Njorogeruthie,@Safaricom_Care Done
173,2022-10-23 13:22:12+00:00,Safaricom_Care,"@kdkinyua Hello Kinyua and sorry about that, please ensure the proxy on the phone is disabled. Go to Settings&gt; Mobile Networks&gt; SIM&gt;Access Point Names&gt; Safaricom GPRS/Brower/Web&gt;  under Proxy and Port, delete numbers  indicated then save.^NR"
174,2022-10-23 13:18:17+00:00,Safaricom_Care,"@Njorogeruthie @Njorogeruthie Hi Ruthie, please DM https://t.co/jF6LqBV8gk  the Mpesa transaction code for assistance. ^PS"
175,2022-10-23 13:17:32+00:00,kdkinyua,Nimebuy that 1GB youtube ya 10 bob from @Safaricom_Care and the shit won't even load videos on YouTube.. Ile ukora iko hii dunia wajameni! Ni ten bob tu lakini imeniuma
176,2022-10-23 13:17:01+00:00,Njorogeruthie,@Safaricom_Care I need a reversal for a transaction
177,2022-10-23 13:16:44+00:00,luyern,@Safaricom_Care Thank you in advance 🙏
178,2022-10-23 13:15:41+00:00,Safaricom_Care,"@luyern Hi, Ole. Please avoid sharing your number here on the time-line as you expose it to fraudsters who might try to con you by calling it. We only call from 0722000000. ^WS"
179,2022-10-23 13:13:33+00:00,Safaricom_Care,"@thehamisi Hello Hamisi, on it, once received. ^AO"
180,2022-10-23 13:11:16+00:00,thehamisi,"@Safaricom_Care you guys help, check DM."
181,2022-10-23 13:04:07+00:00,Safaricom_Care,"@AmalynneGeorgia Hi Geogia, please DM the transaction ID.^ZW"
182,2022-10-23 13:03:33+00:00,Safaricom_Care,"@AmalynneGeorgia Hi Geogia, please inbox the transaction ID.^ZW"
183,2022-10-23 13:00:50+00:00,vincentolemiso,"@misschacha_0 @omwambaKE @Safaricom_Care Ulienda kusaidiwa ama kujisaidia😂😂 lol, anyway umetuongelea bana"
184,2022-10-23 13:00:27+00:00,AmalynneGeorgia,@Safaricom_Care I have a pending reversal but i was not assisted... I will never forget this
185,2022-10-23 12:56:40+00:00,saidilulu,@Safaricom_Care Ok thank you
186,2022-10-23 12:52:34+00:00,philophosical,@Safaricom_Care @Chriskirubi_ Si mlisema mwaweza
187,2022-10-23 12:51:59+00:00,EngMbae,"@ahmednasirlaw @Safaricom_Care Safaricom are now thieves,wametuzoea"
